"Experiment ID","No. Servers","No. Jobs","Job mean length","Statistical margin","Queue policy","Memory size","Distrbution factor","Load","LP Queue max length","LP Queue average length","LP Jobs average time in system","Average LP job time to completion","HP Queue max length","HP Queue average length","HP Jobs average time in system","Average HP job time to completion","Average time to completion","HP-DROPPED_ON_FULL_QUEUE and LP-DROPPED_ON_FULL_QUEUE","HP-COMPLETED and LP-DROPPED_ON_SIBLING_COMPLETION","HP-COMPLETED and LP-DROPPED_ON_FULL_QUEUE","HP-DROPPED_ON_FULL_QUEUE and LP-COMPLETED","HP-DROPPED_ON_SIBLING_COMPLETION and LP-COMPLETED"
"0","2","50000","1.00000000","0.10000000","FINITE","8","0.70000000","0.90000000","2","1.06533504","1.25617665","3.12049010","6","2.04447671","37.42666537","2.37527015","3.44268842","0.04510113","0.53013825","0.36433411","0.00645016","0.05397635"
"1","2","100000","1.00000000","0.10000000","INFINITE","0","0.00000000","0.98000000","94","17.04740554","12.04097051","9.48646453","94","16.90469518","366.28142306","11.73164601","12.33648418","0.01503358","0.83215554","0.12144369","0.00215004","0.02921715"
